Area,Room,Parking,Warehouse,Elevator,Address,Price,Price_Million,Price_per_sqm,Price_per_sqm_Million
79.0,2,True,True,True,Abazar,3000000000.0,3000.0,37974683.5443038,37.974683544303794
135.0,3,True,True,True,Abazar,6480000000.0,6480.0,48000000.0,48.0
95.0,2,True,True,True,Abazar,5600000000.0,5600.0,58947368.421052635,58.94736842105264
95.0,2,True,True,True,Abazar,4500000000.0,4500.0,47368421.05263158,47.36842105263158
102.0,2,True,True,True,Abazar,5200000000.0,5200.0,50980392.15686274,50.98039215686274
120.0,2,True,True,True,Abazar,6250000000.0,6250.0,52083333.333333336,52.083333333333336
95.0,2,True,True,True,Abazar,6700000000.0,6700.0,70526315.78947368,70.52631578947368
87.0,2,True,True,True,Abazar,5655000000.0,5655.0,65000000.0,65.0
88.0,2,True,True,True,Abazar,5600000000.0,5600.0,63636363.63636363,63.63636363636363
114.0,2,True,True,True,Abazar,6700000000.0,6700.0,58771929.8245614,58.771929824561404
87.0,2,True,True,True,Abazar,5600000000.0,5600.0,64367816.09195402,64.36781609195403
104.0,2,True,True,True,Abazar,3400000000.0,3400.0,32692307.692307692,32.69230769230769
76.0,2,True,True,True,Abazar,3000000000.0,3000.0,39473684.21052632,39.473684210526315
82.0,2,True,True,True,Abazar,3800000000.0,3800.0,46341463.414634146,46.34146341463415
106.0,2,True,True,True,Abazar,4500000000.0,4500.0,42452830.18867925,42.45283018867925
120.0,2,True,True,True,Abazar,3880000000.0,3880.0,32333333.333333332,32.33333333333333
65.0,2,True,True,True,Abazar,2500000000.0,2500.0,38461538.461538464,38.46153846153847
80.0,2,True,True,True,Abazar,3000000000.0,3000.0,37500000.0,37.5
112.0,3,True,True,True,Abazar,4300000000.0,4300.0,38392857.14285714,38.39285714285714
110.0,3,True,True,True,Abazar,4250000000.0,4250.0,38636363.63636363,38.63636363636363
72.0,2,True,True,True,Abazar,3350000000.0,3350.0,46527777.777777776,46.52777777777778
60.0,1,True,True,True,Abbasabad,2460000000.0,2460.0,41000000.0,41.0
90.0,2,True,True,True,Abbasabad,4000000000.0,4000.0,44444444.44444445,44.44444444444445
450.0,2,True,True,False,Absard,4200000000.0,4200.0,9333333.333333334,9.333333333333334
500.0,2,True,True,False,Absard,3900000000.0,3900.0,7800000.0,7.8
650.0,2,True,True,False,Absard,5200000000.0,5200.0,8000000.0,8.0
550.0,3,True,True,False,Absard,4500000000.0,4500.0,8181818.181818182,8.181818181818182
450.0,2,False,False,False,Absard,4500000000.0,4500.0,10000000.0,10.0
500.0,2,True,True,False,Absard,3100000000.0,3100.0,6200000.0,6.2
50.0,1,False,True,False,Abuzar,850000000.0,850.0,17000000.0,17.0
49.0,1,False,False,False,Abuzar,1020000000.0,1020.0,20816326.530612245,20.816326530612244
85.0,2,True,False,True,Abuzar,2715000000.0,2715.0,31941176.470588237,31.941176470588236
70.0,2,True,False,True,Afsarieh,1650000000.0,1650.0,23571428.57142857,23.57142857142857
120.0,1,False,False,False,Afsarieh,3150000000.0,3150.0,26250000.0,26.25
105.0,2,True,True,True,Afsarieh,2400000000.0,2400.0,22857142.85714286,22.857142857142858
65.0,2,True,True,False,Afsarieh,1330000000.0,1330.0,20461538.46153846,20.46153846153846
65.0,2,True,True,True,Afsarieh,1550000000.0,1550.0,23846153.846153848,23.846153846153847
43.0,1,False,True,False,Ahang,800000000.0,800.0,18604651.162790697,18.6046511627907
68.0,1,True,False,True,Ahang,1400000000.0,1400.0,20588235.29411765,20.58823529411765
75.0,2,False,False,False,Air force,1650000000.0,1650.0,22000000.0,22.0
105.0,2,True,True,True,Air force,3990000000.0,3990.0,38000000.0,38.0
86.0,2,True,False,True,Air force,3000000000.0,3000.0,34883720.930232555,34.883720930232556
86.0,2,True,True,True,Air force,2924000000.0,2924.0,34000000.0,34.0
104.0,2,True,False,True,Air force,4200000000.0,4200.0,40384615.384615384,40.38461538461539
85.0,2,True,True,False,Air force,2700000000.0,2700.0,31764705.88235294,31.764705882352942
65.0,1,True,True,True,Air force,1690000000.0,1690.0,26000000.0,26.0
88.0,2,False,True,False,Air force,2500000000.0,2500.0,28409090.90909091,28.40909090909091
65.0,2,True,False,True,Air force,1750000000.0,1750.0,26923076.923076924,26.923076923076923
100.0,2,True,True,True,Ajudaniye,6500000000.0,6500.0,65000000.0,65.0
303.0,3,True,True,True,Ajudaniye,30000000000.0,30000.0,99009900.99009901,99.00990099009901
100.0,2,True,True,True,Ajudaniye,6300000000.0,6300.0,63000000.0,63.0
180.0,3,True,True,True,Ajudaniye,13500000000.0,13500.0,75000000.0,75.0
200.0,3,True,True,True,Ajudaniye,27000000000.0,27000.0,135000000.0,135.0
64.0,1,True,True,False,Alborz Complex,645000000.0,645.0,10078125.0,10.078125
73.0,2,True,True,False,Aliabad South,850000000.0,850.0,11643835.616438355,11.643835616438356
74.0,2,True,True,True,Amir Bahador,1702000000.0,1702.0,23000000.0,23.0
93.0,2,True,True,True,Amir Bahador,2139000000.0,2139.0,23000000.0,23.0
63.0,2,True,True,True,Amir Bahador,1638000000.0,1638.0,26000000.0,26.0
57.0,1,False,True,False,Amir Bahador,9800000000.0,9800.0,171929824.5614035,171.9298245614035
90.0,2,True,True,True,Amirabad,4590000000.0,4590.0,51000000.0,51.0
120.0,2,True,True,False,Amirabad,4500000000.0,4500.0,37500000.0,37.5
142.0,3,True,True,True,Amirabad,5500000000.0,5500.0,38732394.366197184,38.732394366197184
86.0,2,True,True,True,Amirabad,4730000000.0,4730.0,55000000.0,55.0
113.0,2,True,True,True,Amirabad,5080000000.0,5080.0,44955752.21238938,44.95575221238938
87.0,2,True,True,True,Amirabad,4780000000.0,4780.0,54942528.73563218,54.94252873563218
94.0,2,True,True,False,Amirabad,3400000000.0,3400.0,36170212.765957445,36.170212765957444
110.0,2,True,False,False,Amirabad,4000000000.0,4000.0,36363636.36363637,36.36363636363637
89.0,2,True,True,False,Amirabad,3500000000.0,3500.0,39325842.69662921,39.32584269662921
102.0,3,False,False,True,Amirabad,4300000000.0,4300.0,42156862.74509804,42.15686274509804
77.0,2,True,True,True,Amirieh,1771000000.0,1771.0,23000000.0,23.0
72.0,2,True,True,True,Amirieh,1650000000.0,1650.0,22916666.666666668,22.916666666666668
74.0,2,True,True,True,Amirieh,1700000000.0,1700.0,22972972.972972974,22.972972972972975
74.0,2,True,True,True,Amirieh,1700000000.0,1700.0,22972972.972972974,22.972972972972975
70.0,2,True,True,True,Amirieh,1630000000.0,1630.0,23285714.285714287,23.28571428571429
74.0,2,True,True,True,Amirieh,1700000000.0,1700.0,22972972.972972974,22.972972972972975
72.0,2,True,True,True,Amirieh,1670000000.0,1670.0,23194444.444444444,23.194444444444443
71.0,2,True,True,True,Amirieh,1650000088.0,1650.000088,23239437.85915493,23.23943785915493
54.0,2,True,True,False,Andisheh,493000000.0,493.0,9129629.629629629,9.129629629629628
44.0,1,True,True,False,Andisheh,350000000.0,350.0,7954545.454545454,7.954545454545454
95.0,2,True,True,True,Andisheh,1500000000.0,1500.0,15789473.684210526,15.789473684210526
134.0,3,True,True,True,Andisheh,1600000000.0,1600.0,11940298.507462686,11.940298507462686
115.0,2,True,True,True,Andisheh,1900000000.0,1900.0,16521739.130434783,16.521739130434785
46.0,1,True,True,False,Andisheh,450000000.0,450.0,9782608.695652174,9.782608695652174
40.0,1,True,True,True,Andisheh,350000000.0,350.0,8750000.0,8.75
72.0,1,True,True,False,Andisheh,730000000.0,730.0,10138888.888888888,10.138888888888888
64.0,2,True,True,False,Andisheh,960000000.0,960.0,15000000.0,15.0
81.0,2,True,True,False,Andisheh,1109700000.0,1109.7,13700000.0,13.7
94.0,2,True,True,True,Andisheh,1250000000.0,1250.0,13297872.340425532,13.297872340425533
44.0,1,True,True,False,Andisheh,585000000.0,585.0,13295454.545454545,13.295454545454545
71.0,2,True,True,False,Andisheh,940000000.0,940.0,13239436.61971831,13.23943661971831
80.0,2,True,True,False,Andisheh,1110000000.0,1110.0,13875000.0,13.875
84.0,3,True,True,True,Andisheh,1590000000.0,1590.0,18928571.42857143,18.92857142857143
49.0,1,True,True,False,Andisheh,380000000.0,380.0,7755102.040816327,7.755102040816326
63.0,2,True,True,False,Andisheh,870000000.0,870.0,13809523.80952381,13.80952380952381
48.0,1,True,True,True,Andisheh,400000000.0,400.0,8333333.333333333,8.333333333333332
54.0,1,True,True,False,Andisheh,500000000.0,500.0,9259259.25925926,9.25925925925926
76.0,2,True,True,True,Andisheh,896000000.0,896.0,11789473.684210526,11.789473684210526
133.0,3,False,False,False,Andisheh,1600000000.0,1600.0,12030075.187969925,12.030075187969924
